,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
14726,398,Alli,2016/17,1,12,8,1.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0
14800,400,Wanyama,2016/17,1,12,8,1.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0
15355,415,Guédioura,2016/17,1,9,10,3.0,0.0,4.0,2.0,0.0,0.0,1,0.0,0.0
15392,416,Capoue,2016/17,1,13,10,1.0,0.0,1.0,2.0,0.0,0.0,10,0.0,0.0
15466,418,Watson,2016/17,1,13,10,1.0,0.0,1.0,2.0,0.0,0.0,-2,0.0,0.0
15503,419,Anya,2016/17,1,13,10,1.0,0.0,1.0,2.0,0.0,0.0,1,0.0,0.0
15540,420,Behrami,2016/17,1,13,10,1.0,0.0,1.0,2.0,0.0,0.0,2,0.0,0.0
15614,422,Amrabat,2016/17,1,13,10,1.0,0.0,1.0,2.0,0.0,0.0,2,0.0,0.0
16243,439,Fletcher,2016/17,1,7,19,2.0,0.0,1.0,2.0,0.0,0.0,3,0.0,0.0
16280,440,Gardner,2016/17,1,7,19,2.0,0.0,1.0,2.0,0.0,0.0,3,0.0,0.0
16317,441,Morrison,2016/17,1,7,19,2.0,0.0,1.0,2.0,0.0,0.0,1,0.0,0.0
16354,442,Yacob,2016/17,1,7,19,2.0,0.0,1.0,2.0,0.0,0.0,3,0.0,0.0
16428,444,McClean,2016/17,1,7,19,2.0,0.0,1.0,2.0,0.0,0.0,4,0.0,0.0
16502,446,Phillips,2016/17,1,7,19,2.0,0.0,1.0,2.0,0.0,0.0,3,0.0,0.0
16954,458,Noble,2016/17,1,17,3,2.0,1.0,1.0,3.0,0.0,0.0,2,0.0,0.0
16992,459,Kouyaté,2016/17,1,17,3,2.0,1.0,1.0,3.0,0.0,0.0,2,0.0,0.0
17068,461,Payet,2016/17,1,17,3,2.0,1.0,1.0,3.0,0.0,0.0,1,0.0,0.0
17182,464,Antonio,2016/17,1,17,3,2.0,1.0,1.0,3.0,0.0,0.0,0,0.0,0.0
17220,465,Nordtveit,2016/17,1,17,3,2.0,1.0,1.0,3.0,0.0,0.0,2,0.0,0.0
17296,467,Töre,2016/17,1,17,3,2.0,1.0,1.0,3.0,0.0,0.0,1,0.0,0.0
17524,473,Gudmundsson,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0
17970,485,Wijnaldum,2016/17,1,2,14,4.0,3.0,3.0,4.0,0.0,0.0,5,0.0,0.0
18082,488,Gueye,2016/17,1,8,12,0.0,1.0,2.0,0.0,0.0,0.0,2,0.0,0.0
18193,491,Ramírez,2016/17,1,9,11,3.0,1.0,4.0,3.0,0.0,0.0,4,0.0,0.0
19273,520,Gooch,2016/17,1,16,5,1.0,2.0,1.0,1.0,0.0,0.0,1,0.0,0.0
398,12,Sánchez,2016/17,2,13,15,0.0,0.0,0.0,0.0,2.0,0.0,3,0.0,0.0
434,13,Walcott,2016/17,2,13,15,0.0,0.0,0.0,0.0,5.0,0.0,3,0.0,0.0
470,14,Özil,2016/17,2,13,15,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
506,15,Cazorla,2016/17,2,13,15,0.0,0.0,0.0,0.0,7.0,0.0,3,0.0,0.0
578,17,Wilshere,2016/17,2,20,15,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
616,18,Chamberlain,2016/17,2,13,15,0.0,0.0,0.0,0.0,6.0,0.0,3,0.0,0.0
688,20,Coquelin,2016/17,2,13,15,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0
832,24,Xhaka,2016/17,2,13,15,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
1315,37,Arter,2016/17,2,20,10,0.0,2.0,0.0,0.0,2.0,0.0,-1,0.0,0.0
1391,39,Surman,2016/17,2,20,10,0.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0.0
1543,43,Gosling,2016/17,2,20,10,0.0,2.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1657,46,Ibe,2016/17,2,20,10,0.0,2.0,0.0,0.0,2.0,0.0,3,0.0,0.0
1733,48,King,2016/17,2,20,10,0.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0.0
2265,62,Boyd,2016/17,2,8,11,1.0,2.0,0.5,2.5,2.0,0.0,3,0.0,0.0
2303,63,Arfield,2016/17,2,8,11,1.0,2.0,0.5,2.5,3.0,0.0,3,0.0,0.0
2341,64,Marney,2016/17,2,8,11,1.0,2.0,0.5,2.5,2.0,0.0,3,0.0,0.0
3016,82,Hazard,2016/17,2,4,14,0.0,2.0,2.0,2.0,10.0,0.0,4,0.0,0.0
3053,83,Fàbregas,2016/17,2,4,14,0.0,2.0,2.0,2.0,0.0,0.0,4,0.0,0.0
3090,84,Oscar,2016/17,2,4,14,0.0,2.0,2.0,2.0,2.0,0.0,2,0.0,0.0
3201,87,Matic,2016/17,2,4,14,0.0,2.0,2.0,2.0,1.0,0.0,2,0.0,0.0
3312,90,Pedro,2016/17,2,4,14,0.0,2.0,2.0,2.0,0.0,0.0,2,0.0,0.0
3386,92,Moses,2016/17,2,4,14,0.0,2.0,2.0,2.0,1.0,0.0,1,0.0,0.0
3497,95,Kanté,2016/17,2,4,14,0.0,2.0,2.0,2.0,1.0,0.0,2,0.0,0.0
4014,109,Bolasie,2016/17,2,5,7,2.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0
4052,110,Puncheon,2016/17,2,19,7,0.0,1.0,1.0,0.0,2.0,0.0,2,0.0,0.0
4089,111,Zaha,2016/17,2,19,7,0.0,1.0,1.0,0.0,1.0,0.0,1,0.0,0.0
4163,113,Ledley,2016/17,2,19,7,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0
4237,115,Mutch,2016/17,2,19,7,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0
4311,117,Lee Chung-yong,2016/17,2,19,7,0.0,1.0,1.0,0.0,3.0,0.0,3,0.0,0.0
4348,118,Cabaye,2016/17,2,19,7,0.0,1.0,1.0,0.0,1.0,0.0,1,0.0,0.0
4422,120,Townsend,2016/17,2,19,7,0.0,1.0,1.0,0.0,2.0,0.0,1,0.0,0.0
4910,133,Mirallas,2016/17,2,5,9,2.0,2.0,1.0,0.0,5.0,0.0,8,0.0,0.0
4948,134,Barkley,2016/17,2,5,9,2.0,2.0,1.0,0.0,10.0,0.0,5,0.0,0.0
5023,136,McCarthy,2016/17,2,5,9,2.0,2.0,1.0,0.0,2.0,0.0,1,0.0,0.0
5061,137,Barry,2016/17,2,5,9,2.0,2.0,1.0,0.0,2.0,0.0,10,0.0,0.0
5211,141,Deulofeu,2016/17,2,5,9,2.0,2.0,1.0,0.0,2.0,0.0,2,0.0,0.0
5743,155,Snodgrass,2016/17,2,10,12,2.0,0.0,0.0,2.0,10.0,0.0,3,0.0,0.0
5781,156,Clucas,2016/17,2,3,12,2.0,0.0,2.0,2.0,1.0,0.0,3,0.0,0.0
5819,157,Livermore,2016/17,2,9,12,2.0,0.0,0.0,2.0,2.0,0.0,3,0.0,0.0
5856,158,Elmohamady,2016/17,2,3,12,2.0,0.0,2.0,2.0,2.0,0.0,3,0.0,0.0
5932,160,Huddlestone,2016/17,2,3,12,2.0,0.0,2.0,2.0,2.0,0.0,3,0.0,0.0
5970,161,Meyler,2016/17,2,3,12,2.0,0.0,2.0,2.0,2.0,0.0,3,0.0,0.0
6008,162,Maloney,2016/17,2,3,12,2.0,0.0,2.0,2.0,0.0,0.0,11,0.0,0.0
6529,176,Mahrez,2016/17,2,15,13,0.0,0.0,0.0,0.0,8.0,0.0,3,0.0,0.0
6566,177,Albrighton,2016/17,2,15,13,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
6603,178,King,2016/17,2,15,13,0.0,0.0,0.0,0.0,2.0,0.0,1,0.0,0.0
6640,179,Drinkwater,2016/17,2,15,13,0.0,0.0,0.0,0.0,2.0,0.0,3,0.0,0.0
6788,183,Mendy,2016/17,2,15,13,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
7466,201,Henderson,2016/17,2,11,8,2.0,1.0,2.5,0.5,2.0,0.0,1,0.0,0.0
7504,202,Allen,2016/17,2,17,1,1.0,4.0,4.0,1.0,1.0,0.0,1,0.0,0.0
7541,203,Coutinho,2016/17,2,11,8,2.0,1.0,2.5,0.5,15.0,0.0,2,0.0,0.0
7617,205,Lallana,2016/17,2,11,8,2.0,1.0,2.5,0.5,11.0,0.0,2,0.0,0.0
7731,208,Milner,2016/17,2,11,8,2.0,1.0,2.5,0.5,0.0,0.0,2,0.0,0.0
7769,209,Firmino,2016/17,2,11,8,2.0,1.0,2.5,0.5,2.0,0.0,2,0.0,0.0
8434,227,Delph,2016/17,2,1,17,4.0,1.0,1.0,4.0,1.0,0.0,1,0.0,0.0
8470,228,Sterling,2016/17,2,1,17,4.0,1.0,1.0,4.0,5.0,0.0,4,0.0,0.0
8542,230,Silva,2016/17,2,1,17,4.0,1.0,1.0,4.0,3.0,0.0,2,0.0,0.0
8614,232,Navas,2016/17,2,1,17,4.0,1.0,1.0,4.0,4.0,0.0,2,0.0,0.0
8650,233,Fernandinho,2016/17,2,1,17,4.0,1.0,1.0,4.0,2.0,0.0,2,0.0,0.0
8722,235,De Bruyne,2016/17,2,1,17,4.0,1.0,1.0,4.0,2.0,0.0,4,0.0,0.0
8794,237,Nolito,2016/17,2,1,17,4.0,1.0,1.0,4.0,1.0,0.0,13,0.0,0.0
9480,256,Mata,2016/17,2,2,16,2.0,0.0,0.0,1.0,7.0,0.0,3,0.0,0.0
9516,257,Fellaini,2016/17,2,2,16,2.0,0.0,0.0,1.0,2.0,0.0,3,0.0,0.0
9660,261,Januzaj,2016/17,2,18,6,2.0,0.0,2.0,0.0,1.0,0.0,2,0.0,0.0
9697,262,Herrera,2016/17,2,2,16,2.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0
9879,267,Martial,2016/17,2,2,16,2.0,0.0,0.0,1.0,11.0,0.0,3,0.0,0.0
9915,268,Mkhitaryan,2016/17,2,2,16,2.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0
10391,281,Adomah,2016/17,2,6,18,0.0,2.0,0.0,2.0,2.0,0.0,1,0.0,0.0
10428,282,Downing,2016/17,2,6,18,0.0,2.0,0.0,2.0,1.0,0.0,2,0.0,0.0
10465,283,Clayton,2016/17,2,6,18,0.0,2.0,0.0,2.0,2.0,0.0,1,0.0,0.0
10576,286,Forshaw,2016/17,2,6,18,0.0,2.0,0.0,2.0,1.0,0.0,2,0.0,0.0
11234,304,Redmond,2016/17,2,16,2,0.0,2.0,1.0,0.0,10.0,0.0,2,0.0,0.0
11270,305,Davis,2016/17,2,16,2,0.0,2.0,1.0,0.0,2.0,0.0,2,0.0,0.0
11378,308,Tadic,2016/17,2,16,2,0.0,2.0,1.0,0.0,2.0,0.0,2,0.0,0.0
11414,309,Clasie,2016/17,2,16,2,0.0,2.0,1.0,0.0,0.0,0.0,2,0.0,0.0
11450,310,Oriol Romeu,2016/17,2,16,2,0.0,2.0,1.0,0.0,2.0,0.0,1,0.0,0.0
11486,311,Rodriguez,2016/17,2,16,2,0.0,2.0,1.0,0.0,0.0,0.0,1,0.0,0.0
11522,312,Højbjerg,2016/17,2,16,2,0.0,2.0,1.0,0.0,1.0,0.0,2,0.0,0.0
12148,329,Whelan,2016/17,2,17,1,1.0,4.0,4.0,1.0,3.0,0.0,2,0.0,0.0
12185,330,Walters,2016/17,2,17,1,1.0,4.0,4.0,1.0,1.0,0.0,1,0.0,0.0
12222,331,Arnautovic,2016/17,2,17,1,1.0,4.0,4.0,1.0,1.0,0.0,2,0.0,0.0
12333,334,Imbula,2016/17,2,17,1,1.0,4.0,4.0,1.0,3.0,0.0,2,0.0,0.0
12370,335,Bojan,2016/17,2,17,1,1.0,4.0,4.0,1.0,2.0,0.0,6,0.0,0.0
12925,350,Rodwell,2016/17,2,18,6,2.0,0.0,2.0,0.0,6.0,0.0,2,0.0,0.0
12962,351,Lens,2016/17,2,18,6,2.0,0.0,2.0,0.0,0.0,0.0,1,0.0,0.0
13036,353,Watmore,2016/17,2,18,6,2.0,0.0,2.0,0.0,2.0,0.0,5,0.0,0.0
13565,367,Cork,2016/17,2,12,3,0.0,2.0,2.0,2.0,3.0,0.0,2,0.0,0.0
13603,368,Sigurdsson,2016/17,2,12,3,0.0,2.0,2.0,2.0,1.0,0.0,2,0.0,0.0
13641,369,Routledge,2016/17,2,12,3,0.0,2.0,2.0,2.0,3.0,0.0,1,0.0,0.0
13755,372,Ki Sung-yueng,2016/17,2,12,3,0.0,2.0,2.0,2.0,0.0,0.0,1,0.0,0.0
13793,373,Montero,2016/17,2,12,3,0.0,2.0,2.0,2.0,1.0,0.0,1,0.0,0.0
13869,375,Fer,2016/17,2,12,3,0.0,2.0,2.0,2.0,11.0,0.0,3,0.0,0.0
13907,376,Dyer,2016/17,2,12,3,0.0,2.0,2.0,2.0,0.0,0.0,1,0.0,0.0
14429,390,Dier,2016/17,2,7,19,1.0,0.0,0.0,1.0,1.0,0.0,2,0.0,0.0
14540,393,Lamela,2016/17,2,7,19,1.0,0.0,0.0,1.0,9.0,0.0,3,0.0,0.0
14577,394,Eriksen,2016/17,2,7,19,1.0,0.0,0.0,1.0,2.0,0.0,3,0.0,0.0
14689,397,Carroll,2016/17,2,12,19,0.0,0.0,2.0,1.0,0.0,0.0,1,0.0,0.0
14727,398,Alli,2016/17,2,7,19,1.0,0.0,0.0,1.0,2.0,0.0,1,0.0,0.0
14764,399,Onomah,2016/17,2,7,19,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0
14801,400,Wanyama,2016/17,2,7,19,1.0,0.0,0.0,1.0,2.0,0.0,11,0.0,0.0
15356,415,Guédioura,2016/17,2,6,4,0.0,0.0,0.0,2.0,1.0,0.0,5,0.0,0.0
15393,416,Capoue,2016/17,2,14,4,2.0,0.0,2.0,2.0,10.0,0.0,9,0.0,0.0
15541,420,Behrami,2016/17,2,14,4,2.0,0.0,2.0,2.0,2.0,0.0,1,0.0,0.0
15615,422,Amrabat,2016/17,2,14,4,2.0,0.0,2.0,2.0,2.0,0.0,5,0.0,0.0
16244,439,Fletcher,2016/17,2,9,5,2.0,2.0,0.0,1.0,3.0,0.0,2,0.0,0.0
16281,440,Gardner,2016/17,2,9,5,2.0,2.0,0.0,1.0,3.0,0.0,5,0.0,0.0
16355,442,Yacob,2016/17,2,9,5,2.0,2.0,0.0,1.0,3.0,0.0,2,0.0,0.0
16429,444,McClean,2016/17,2,9,5,2.0,2.0,0.0,1.0,4.0,0.0,1,0.0,0.0
16466,445,Leko,2016/17,2,9,5,2.0,2.0,0.0,1.0,0.0,0.0,1,0.0,0.0
16503,446,Phillips,2016/17,2,9,5,2.0,2.0,0.0,1.0,3.0,0.0,2,0.0,0.0
16955,458,Noble,2016/17,2,10,20,2.0,0.0,0.0,0.0,2.0,0.0,3,0.0,0.0
16993,459,Kouyaté,2016/17,2,10,20,2.0,0.0,0.0,0.0,2.0,0.0,3,0.0,0.0
17031,460,Obiang,2016/17,2,10,20,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
17183,464,Antonio,2016/17,2,10,20,2.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0
17221,465,Nordtveit,2016/17,2,10,20,2.0,0.0,0.0,0.0,2.0,0.0,3,0.0,0.0
17297,467,Töre,2016/17,2,10,20,2.0,0.0,0.0,0.0,1.0,0.0,6,0.0,0.0
17525,473,Gudmundsson,2016/17,2,8,11,1.0,2.0,0.5,2.5,1.0,0.0,1,0.0,0.0
17601,475,Grujic,2016/17,2,11,8,2.0,1.0,2.5,0.5,0.0,0.0,1,0.0,0.0
17861,482,Doucouré,2016/17,2,14,4,2.0,0.0,2.0,2.0,0.0,0.0,1,0.0,0.0
17971,485,Wijnaldum,2016/17,2,11,8,2.0,1.0,2.5,0.5,5.0,0.0,2,0.0,0.0
18009,486,Sobhi,2016/17,2,17,1,1.0,4.0,4.0,1.0,0.0,0.0,1,0.0,0.0
18083,488,Gueye,2016/17,2,5,9,2.0,2.0,1.0,0.0,2.0,0.0,2,0.0,0.0
